sub,sov,cond,trial_amount
26,N2EliwJKc,T_prevhigh_2,3
27,N2EliwJKc,T_prevhigh_2,2
28,N2EliwJKc,T_prevhigh_2,5
29,N2EliwJKc,T_prevhigh_2,6
30,N2EliwJKc,T_prevhigh_2,6
31,N2EliwJKc,T_prevhigh_2,3
32,N2EliwJKc,T_prevhigh_2,3
33,N2EliwJKc,T_prevhigh_2,6
34,N2EliwJKc,T_prevhigh_2,5
35,N2EliwJKc,T_prevhigh_2,4
36,N2EliwJKc,T_prevhigh_2,4
37,N2EliwJKc,T_prevhigh_2,2
38,N2EliwJKc,T_prevhigh_2,4
01,N2EliwJKc,T_prevhigh_3,6
02,N2EliwJKc,T_prevhigh_3,3
03,N2EliwJKc,T_prevhigh_3,6
04,N2EliwJKc,T_prevhigh_3,2
08,N2EliwJKc,T_prevhigh_3,2
09,N2EliwJKc,T_prevhigh_3,4
10,N2EliwJKc,T_prevhigh_3,6
11,N2EliwJKc,T_prevhigh_3,3
13,N2EliwJKc,T_prevhigh_3,5
14,N2EliwJKc,T_prevhigh_3,4
15,N2EliwJKc,T_prevhigh_3,2
16,N2EliwJKc,T_prevhigh_3,4
17,N2EliwJKc,T_prevhigh_3,7
19,N2EliwJKc,T_prevhigh_3,2
20,N2EliwJKc,T_prevhigh_3,5
21,N2EliwJKc,T_prevhigh_3,5
23,N2EliwJKc,T_prevhigh_3,4
24,N2EliwJKc,T_prevhigh_3,6
25,N2EliwJKc,T_prevhigh_3,2
26,N2EliwJKc,T_prevhigh_3,2
27,N2EliwJKc,T_prevhigh_3,3
28,N2EliwJKc,T_prevhigh_3,7
29,N2EliwJKc,T_prevhigh_3,4
30,N2EliwJKc,T_prevhigh_3,3
31,N2EliwJKc,T_prevhigh_3,4
32,N2EliwJKc,T_prevhigh_3,7
33,N2EliwJKc,T_prevhigh_3,8
34,N2EliwJKc,T_prevhigh_3,8
35,N2EliwJKc,T_prevhigh_3,0
36,N2EliwJKc,T_prevhigh_3,3
37,N2EliwJKc,T_prevhigh_3,6
38,N2EliwJKc,T_prevhigh_3,10
01,N2EliwJKc,T_prevhigh_4,2
02,N2EliwJKc,T_prevhigh_4,0
03,N2EliwJKc,T_prevhigh_4,8
04,N2EliwJKc,T_prevhigh_4,0
08,N2EliwJKc,T_prevhigh_4,4
09,N2EliwJKc,T_prevhigh_4,4
10,N2EliwJKc,T_prevhigh_4,7
11,N2EliwJKc,T_prevhigh_4,3
13,N2EliwJKc,T_prevhigh_4,12
14,N2EliwJKc,T_prevhigh_4,3
15,N2EliwJKc,T_prevhigh_4,3
16,N2EliwJKc,T_prevhigh_4,6
17,N2EliwJKc,T_prevhigh_4,4
19,N2EliwJKc,T_prevhigh_4,5
20,N2EliwJKc,T_prevhigh_4,6
21,N2EliwJKc,T_prevhigh_4,5
23,N2EliwJKc,T_prevhigh_4,2
24,N2EliwJKc,T_prevhigh_4,3
25,N2EliwJKc,T_prevhigh_4,7
26,N2EliwJKc,T_prevhigh_4,3
27,N2EliwJKc,T_prevhigh_4,2
28,N2EliwJKc,T_prevhigh_4,2
29,N2EliwJKc,T_prevhigh_4,6
30,N2EliwJKc,T_prevhigh_4,4
31,N2EliwJKc,T_prevhigh_4,4
32,N2EliwJKc,T_prevhigh_4,5
33,N2EliwJKc,T_prevhigh_4,4
34,N2EliwJKc,T_prevhigh_4,5
35,N2EliwJKc,T_prevhigh_4,2
36,N2EliwJKc,T_prevhigh_4,3
37,N2EliwJKc,T_prevhigh_4,9
38,N2EliwJKc,T_prevhigh_4,9
01,N2EliwJKc,T_prevmid_1,7
02,N2EliwJKc,T_prevmid_1,3
03,N2EliwJKc,T_prevmid_1,11
04,N2EliwJKc,T_prevmid_1,4
08,N2EliwJKc,T_prevmid_1,7
09,N2EliwJKc,T_prevmid_1,4
10,N2EliwJKc,T_prevmid_1,10
11,N2EliwJKc,T_prevmid_1,9
13,N2EliwJKc,T_prevmid_1,9
14,N2EliwJKc,T_prevmid_1,2
15,N2EliwJKc,T_prevmid_1,6
16,N2EliwJKc,T_prevmid_1,16
17,N2EliwJKc,T_prevmid_1,5
19,N2EliwJKc,T_prevmid_1,8
20,N2EliwJKc,T_prevmid_1,2
21,N2EliwJKc,T_prevmid_1,7
23,N2EliwJKc,T_prevmid_1,7
24,N2EliwJKc,T_prevmid_1,8
25,N2EliwJKc,T_prevmid_1,2
26,N2EliwJKc,T_prevmid_1,3
27,N2EliwJKc,T_prevmid_1,6
28,N2EliwJKc,T_prevmid_1,5
29,N2EliwJKc,T_prevmid_1,6
30,N2EliwJKc,T_prevmid_1,10
31,N2EliwJKc,T_prevmid_1,4
32,N2EliwJKc,T_prevmid_1,6
33,N2EliwJKc,T_prevmid_1,10
34,N2EliwJKc,T_prevmid_1,8
35,N2EliwJKc,T_prevmid_1,5
36,N2EliwJKc,T_prevmid_1,6
37,N2EliwJKc,T_prevmid_1,6
38,N2EliwJKc,T_prevmid_1,3
01,N2EliwJKc,T_prevmid_2,3
02,N2EliwJKc,T_prevmid_2,2
03,N2EliwJKc,T_prevmid_2,0
04,N2EliwJKc,T_prevmid_2,2
08,N2EliwJKc,T_prevmid_2,3
09,N2EliwJKc,T_prevmid_2,5
10,N2EliwJKc,T_prevmid_2,2
11,N2EliwJKc,T_prevmid_2,4
13,N2EliwJKc,T_prevmid_2,10
14,N2EliwJKc,T_prevmid_2,0
15,N2EliwJKc,T_prevmid_2,3
16,N2EliwJKc,T_prevmid_2,7
17,N2EliwJKc,T_prevmid_2,5
19,N2EliwJKc,T_prevmid_2,5
20,N2EliwJKc,T_prevmid_2,5
21,N2EliwJKc,T_prevmid_2,2
23,N2EliwJKc,T_prevmid_2,3
24,N2EliwJKc,T_prevmid_2,8
25,N2EliwJKc,T_prevmid_2,2
26,N2EliwJKc,T_prevmid_2,5
27,N2EliwJKc,T_prevmid_2,3
28,N2EliwJKc,T_prevmid_2,8
29,N2EliwJKc,T_prevmid_2,8
30,N2EliwJKc,T_prevmid_2,4
31,N2EliwJKc,T_prevmid_2,4
32,N2EliwJKc,T_prevmid_2,5
33,N2EliwJKc,T_prevmid_2,8
34,N2EliwJKc,T_prevmid_2,5
35,N2EliwJKc,T_prevmid_2,0
36,N2EliwJKc,T_prevmid_2,4
37,N2EliwJKc,T_prevmid_2,6
38,N2EliwJKc,T_prevmid_2,2
01,N2EliwJKc,T_prevmid_3,4
02,N2EliwJKc,T_prevmid_3,0
03,N2EliwJKc,T_prevmid_3,4
04,N2EliwJKc,T_prevmid_3,3
08,N2EliwJKc,T_prevmid_3,2
09,N2EliwJKc,T_prevmid_3,5
10,N2EliwJKc,T_prevmid_3,5
11,N2EliwJKc,T_prevmid_3,6
13,N2EliwJKc,T_prevmid_3,5
14,N2EliwJKc,T_prevmid_3,0
15,N2EliwJKc,T_prevmid_3,5
16,N2EliwJKc,T_prevmid_3,5
17,N2EliwJKc,T_prevmid_3,5
19,N2EliwJKc,T_prevmid_3,5
20,N2EliwJKc,T_prevmid_3,2
21,N2EliwJKc,T_prevmid_3,2
23,N2EliwJKc,T_prevmid_3,2
24,N2EliwJKc,T_prevmid_3,5
25,N2EliwJKc,T_prevmid_3,5
26,N2EliwJKc,T_prevmid_3,0
27,N2EliwJKc,T_prevmid_3,2
