sub,sov,cond,trial_amount
34,N2,T5302_2,63
35,N2,T5302_2,63
36,N2,T5302_2,58
37,N2,T5302_2,57
38,N2,T5302_2,96
02,N2,T650_3,46
03,N2,T650_3,67
04,N2,T650_3,63
08,N2,T650_3,65
09,N2,T650_3,83
10,N2,T650_3,85
11,N2,T650_3,60
13,N2,T650_3,86
14,N2,T650_3,24
15,N2,T650_3,93
16,N2,T650_3,92
17,N2,T650_3,55
19,N2,T650_3,95
20,N2,T650_3,83
21,N2,T650_3,91
23,N2,T650_3,68
24,N2,T650_3,105
25,N2,T650_3,82
26,N2,T650_3,27
27,N2,T650_3,34
28,N2,T650_3,102
29,N2,T650_3,80
30,N2,T650_3,115
31,N2,T650_3,89
32,N2,T650_3,63
33,N2,T650_3,121
34,N2,T650_3,65
35,N2,T650_3,66
36,N2,T650_3,54
37,N2,T650_3,60
38,N2,T650_3,85
02,N2,T845_3,45
03,N2,T845_3,70
04,N2,T845_3,63
08,N2,T845_3,71
09,N2,T845_3,83
10,N2,T845_3,80
11,N2,T845_3,53
13,N2,T845_3,89
14,N2,T845_3,30
15,N2,T845_3,96
16,N2,T845_3,91
17,N2,T845_3,52
19,N2,T845_3,104
20,N2,T845_3,84
21,N2,T845_3,93
23,N2,T845_3,65
24,N2,T845_3,111
25,N2,T845_3,92
26,N2,T845_3,31
27,N2,T845_3,36
28,N2,T845_3,94
29,N2,T845_3,75
30,N2,T845_3,116
31,N2,T845_3,85
32,N2,T845_3,67
33,N2,T845_3,114
34,N2,T845_3,59
35,N2,T845_3,65
36,N2,T845_3,52
37,N2,T845_3,60
38,N2,T845_3,87
02,N2,T1098_3,47
03,N2,T1098_3,71
04,N2,T1098_3,56
08,N2,T1098_3,65
09,N2,T1098_3,83
10,N2,T1098_3,77
11,N2,T1098_3,58
13,N2,T1098_3,88
14,N2,T1098_3,23
15,N2,T1098_3,94
16,N2,T1098_3,90
17,N2,T1098_3,56
19,N2,T1098_3,105
20,N2,T1098_3,77
21,N2,T1098_3,93
23,N2,T1098_3,62
24,N2,T1098_3,108
25,N2,T1098_3,88
26,N2,T1098_3,34
27,N2,T1098_3,32
28,N2,T1098_3,100
29,N2,T1098_3,77
30,N2,T1098_3,122
31,N2,T1098_3,90
32,N2,T1098_3,65
33,N2,T1098_3,114
34,N2,T1098_3,63
35,N2,T1098_3,67
36,N2,T1098_3,57
37,N2,T1098_3,59
38,N2,T1098_3,94
02,N2,T1428_3,46
03,N2,T1428_3,79
04,N2,T1428_3,58
08,N2,T1428_3,67
09,N2,T1428_3,84
10,N2,T1428_3,81
11,N2,T1428_3,56
13,N2,T1428_3,87
14,N2,T1428_3,28
15,N2,T1428_3,95
16,N2,T1428_3,85
17,N2,T1428_3,49
19,N2,T1428_3,96
20,N2,T1428_3,86
21,N2,T1428_3,85
23,N2,T1428_3,63
24,N2,T1428_3,113
25,N2,T1428_3,87
26,N2,T1428_3,35
27,N2,T1428_3,34
28,N2,T1428_3,91
29,N2,T1428_3,74
30,N2,T1428_3,121
31,N2,T1428_3,90
32,N2,T1428_3,65
33,N2,T1428_3,108
34,N2,T1428_3,50
35,N2,T1428_3,67
36,N2,T1428_3,59
37,N2,T1428_3,59
38,N2,T1428_3,96
02,N2,T1856_3,45
